Date,Time,Status,Mode,Temperature,Fan_speed,Wind_direction,,,,
10/3/2020,21:52:24,On,Dry,25,3,Swing,,,,
10/3/2020,21:52:28,Off,Dry,25,3,Swing,,,,
10/3/2020,21:54:23,On,Dry,25,3,Swing,,,,
10/3/2020,21:54:28,On,Cool,25,3,Swing,,,,
10/3/2020,21:54:29,On,Cool,24,3,Swing,,,,
10/3/2020,21:54:30,On,Cool,23,3,Swing,,,,
10/3/2020,21:54:31,On,Cool,23,2,Swing,,,,
10/3/2020,21:54:33,On,Cool,23,2,Fix,,,,
10/3/2020,21:54:41,On,Cool,23,0,Fix,,,,
10/3/2020,21:54:43,On,Cool,22,0,Fix,,,,
10/3/2020,21:54:44,On,Cool,21,0,Fix,,,,
10/3/2020,21:54:45,On,Cool,22,0,Fix,,,,
10/3/2020,21:54:46,On,Cool,23,0,Fix,,,,
10/3/2020,21:54:46,On,Cool,24,0,Fix,,,,
10/3/2020,21:54:48,On,Cool,24,0,Swing,,,,
10/3/2020,21:54:51,On,Cool,24,0,Fix,,,,
10/3/2020,21:54:53,On,Cool,23,0,Fix,,,,
10/3/2020,21:54:54,On,Auto,23,0,Fix,,,,
10/3/2020,21:54:57,On,Dry,23,0,Fix,,,,
10/3/2020,21:55:40,On,Dry,24,0,Fix,,,,
10/3/2020,21:55:40,On,Dry,24,0,Fix,,,,
10/3/2020,21:55:41,On,Dry,25,0,Fix,,,,
10/3/2020,21:55:42,On,Dry,26,0,Fix,,,,
10/3/2020,21:55:42,On,Dry,27,0,Fix,,,,
10/3/2020,21:55:43,On,Dry,28,0,Fix,,,,
10/3/2020,21:58:52,On,Cool,28,1,Swing,,,,
10/3/2020,21:58:56,On,Cool,28,1,Swing,,,,
10/3/2020,21:58:59,On,Dry,28,1,Swing,,,,
10/3/2020,21:59:00,On,Dry,27,1,Swing,,,,
10/3/2020,21:59:01,On,Dry,26,1,Swing,,,,
10/3/2020,21:59:02,On,Dry,26,0,Swing,,,,
10/3/2020,21:59:04,On,Dry,26,0,Fix,,,,
10/3/2020,21:59:10,On,Dry,25,0,Fix,,,,
10/3/2020,21:59:11,On,Dry,24,0,Fix,,,,
10/3/2020,21:59:12,On,Dry,23,0,Fix,,,,
10/3/2020,21:59:12,On,Dry,22,0,Fix,,,,
10/3/2020,21:59:13,On,Dry,21,0,Fix,,,,
10/3/2020,21:59:14,On,Dry,20,0,Fix,,,,
